#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	NveB E(PSI)	Mono E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
BRD9	ENSG00000028310	ENSG00000028310:s:883938-884070	-0.020931081613835972;0.27606905632766054;0.0001637750694452331;-0.22347300973899692	0.001313199864956402;0.7934527356773353;5.0968027958771405e-08;0.60240404851624	1.7652073968754678e-05;5.670999086329989e-07;0.0004135095985963455;1.2483383791117575e-06	0.121;0.151;0.004;0.724	0.084;0.461;0.005;0.451	s|1e1.1o3|1e2.2o2|1e3.2o2|i	False	False	True	4	4	1;1;1;1	chr5	-	883450-883938;881182-883938;879889-883938;883451-883937	879794-880098;881107-882545;882956-883450;883938-884070	883451-883937	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A884070-879794
BRD9	ENSG00000028310	ENSG00000028310:s:891155-891550	-0.28724524043711125;0.2872452119022751	0.7821660149224092;0.7821660528405847	7.707063841899675e-06;7.706600863881339e-06	0.500;0.500	0.167;0.833	s|1e1.2o3|1e1.3o3	False	True	False	2	2	1;1	chr5	-	889766-891155;889647-891155	889587-890046;891155-891550		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A891550-889587
BRD9	ENSG00000028310	ENSG00000028310:t:879794-880098	0.002290441393412975;1.8368903141802888e-05;1.8368903141802888e-05;0.18541964561506702;-0.20815088185384248	5.419954695447622e-07;1.0838445819865665e-08;1.0838445819865665e-08;0.46047411544334865;0.5465366457223383	0.00019553613068548636;0.0006673615790308562;0.0006673615790308562;1.7291330960443954e-06;1.4285420222304168e-06	0.003;0.003;0.003;0.403;0.587	0.021;0.003;0.003;0.646;0.327	t|1e1.1o1|1e2.2o2|1e3.2o3|1e4.1o1|i	False	False	True	5	5	1;1;1;1;0	chr5	-	879889-886592;879889-883938;879889-883332;879889-881107;880099-881106	879794-880098;881107-882545;882956-883450;883938-884070;886592-886767	880099-881106	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A886767-879794
BRD9	ENSG00000028310	ENSG00000028310:t:881107-882545	7.72120617882942e-05;0.23567726248525364;7.72120617882942e-05;7.72120617882942e-05;-0.23796592212901396	4.280609089421143e-09;0.6738800911919208;4.280609089421143e-09;4.280609089421143e-09;0.6822664104814732	0.001118863804531453;5.120141180692569e-07;0.001118863804531453;0.001118863804531453;5.215124891932987e-07	0.002;0.125;0.002;0.002;0.868	0.003;0.388;0.003;0.003;0.602	t|1e1.3o3|2e2.2o2|2e3.1o3|2e3.2o3|i	True	True	True	5	4	1;1;1;1;0	chr5	-	882545-882956;881182-883938;881182-883351;881182-883332;882546-882955	881107-882545;882956-883450;883938-884070	882546-882955	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A884070-881107
ACAA1	ENSG00000060971	ENSG00000060971:s:38131926-38132552	0.33865959426040704;-0.3386596222639431	0.960671214221848;0.9606712108864616	1.1494130527926253e-06;1.1494555308688703e-06	0.270;0.730	0.620;0.380	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr3	-	38131638-38131926;38129388-38131926	38129290-38129388;38131596-38131638;38131926-38132552		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A38132552-38129290
ACAA1	ENSG00000060971	ENSG00000060971:t:38129290-38129388	-4.765873740402847e-05;-0.4019962063029824;0.40515711109876623	6.315048612526547e-21;0.9965074083452603;0.9969280738127235	0.0028209104392782347;1.3869249460007893e-07;1.283299498581289e-07	0.004;0.672;0.324	0.002;0.268;0.731	t|1e1.1o3|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr3	-	38129388-38133952;38129388-38131926;38129388-38131596	38129290-38129388;38131596-38131638;38131926-38132552;38133780-38134009		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A38134009-38129290
RASSF1	ENSG00000068028	ENSG00000068028:t:50332050-50332154	0.005738289431861503;0.12050883370509943;-0.23635877812834344;0.13067687401942146;-0.0525496817103464	4.3207666555753105e-08;0.1261692779793905;0.7437806626973494;0.1448003242094744;0.014802618074051544	0.00036302688846374037;1.7454188697403703e-06;7.065676488338113e-08;1.2583931408612112e-06;6.582580790781556e-06	0.006;0.154;0.343;0.115;0.383	0.034;0.303;0.099;0.270;0.295	t|1e1.1o1|1e2.1o1|1e3.1o5|1e3.3o5|i	True	False	True	5	4	1;1;1;0;0	chr3	-	50332154-50340556;50332154-50337905;50332154-50337173;50332154-50336760;50332155-50336376	50332050-50332154;50336377-50337572;50337905-50338023;50340556-50340980	50332155-50336376	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A50340980-50332050
ATP6AP1	ENSG00000071553	ENSG00000071553:s:154429048-154429403	0.4479908844694432;-0.0008926976532731963;-0.0008926976532731963;-0.42925642985090273	0.9906619781255894;5.46788173345834e-06;5.46788173345834e-06;0.9849443337544252	1.6482590599504089e-07;8.934442407459997e-05;8.934442407459997e-05;1.98806843876298e-07	0.266;0.008;0.008;0.718	0.721;0.001;0.001;0.278	s|1e1.2o2|2e2.2o2|2e3.2o2|i	True	False	True	4	4	1;1;1;0	chrX	+	154429174-154431830;154429403-154431520;154429403-154431830;154429404-154430583	154429048-154429403;154430584-154431657;154431722-154431904	154429404-154430583	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A154431904-154429048
ATP6AP1	ENSG00000071553	ENSG00000071553:t:154431722-154431904	0.3663175214784936;-0.0010952173831210005;-0.3519331058684897	0.9335279509978268;1.5090910325911363e-05;0.9151644303923363	4.222484286781753e-06;0.00017624436308172342;4.564119626015994e-06	0.298;0.012;0.690	0.688;0.001;0.311	t|1e1.1o2|1e1.2o2|1e2.2o2	True	False	True	3	3	1;1;1	chrX	+	154429174-154431830;154429403-154431830;154431657-154431830	154429048-154429403;154430584-154431657;154431722-154431904		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A154431904-154429048
ZCWPW1	ENSG00000078487	ENSG00000078487:s:100408539-100408659	-0.8611528422159261;0.8557853610798651	0.9999998366319657;0.999999826907489	1.2396005488746198e-07;1.2620988378051642e-07	0.944;0.056	0.109;0.891	s|1e1.1o1|i	False	False	False	2	2	1;0	chr7	-	100407303-100408539;100407304-100408538	100407228-100407303;100408539-100408659	100407304-100408538	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100408659-100407228
ZCWPW1	ENSG00000078487	ENSG00000078487:s:100420622-100420678	-0.5740542757757587;-0.03938078781921897;0.6752911209544511	0.9987995936338421;0.010481996295174581;0.9999226401979056	1.6436582306322833e-07;1.1899152280503422e-05;1.3208931332775988e-07	0.607;0.099;0.294	0.036;0.009;0.955	s|1e1.1o3|1e1.3o3|i	False	True	False	3	2	1;1;0	chr7	-	100419883-100420622;100419813-100420622;100419884-100420621	100419630-100419883;100420622-100420678	100419884-100420621	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100420678-100419630
ZCWPW1	ENSG00000078487	ENSG00000078487:s:100428568-100428992	-0.9212785154026086;0.9136566406607489	0.9999999991630594;0.9999999992346513	8.395198602961784e-08;5.699558608640215e-08	0.978;0.022	0.076;0.924	s|1e1.1o1|i	False	False	False	2	2	1;0	chr7	-	100425136-100428568;100425137-100428567	100425030-100425136;100428568-100428992	100425137-100428567	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100428992-100425030
ZCWPW1	ENSG00000078487	ENSG00000078487:t:100418733-100419189	-0.9554125083610533;0.9493285834837966	0.9999999999758592;0.9999999999894841	3.998237283475703e-07;1.1151096552551403e-07	0.976;0.024	0.036;0.964	t|1e1.1o1|2e2.1o1	False	True	True	2	3	1;0	chr7	-	100419189-100419630;100419172-100428092	100418733-100419189;100419630-100419883;100428092-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100428102-100418733
RAB18	ENSG00000099246	ENSG00000099246:s:27526828-27526889	-0.10443352486151763;0.2656598413750201;-3.972485664629835e-06;-0.1288477006776281	0.05480879459235118;0.8380566285637062;7.9407578886268e-21;0.1318963874081054	2.09450960120261e-06;8.948588410290495e-08;0.25960150453810193;1.233073666062623e-06	0.224;0.508;0.002;0.265	0.096;0.790;0.002;0.113	s|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;1;1;0	chr10	+	27526889-27531529;27526889-27532507;27526889-27533928;27526890-27531528	27526828-27526889;27531529-27531615;27532507-27532579;27533928-27533994	27526890-27531528	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A27533994-27526828
RAB18	ENSG00000099246	ENSG00000099246:t:27532507-27532579	-2.19645700542485e-06;0.20490694134923695;-0.03454777342776916;-0.14640117517492718	7.94042205473608e-21;0.5415151449944777;0.0013402938471042604;0.20611764239293345	0.5271387159054879;3.907071222027057e-07;1.3667645438975029e-05;8.823317649842011e-07	0.002;0.460;0.228;0.311	0.001;0.685;0.170;0.144	t|1e1.1o3|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;1;1;0	chr10	+	27509920-27532507;27526889-27532507;27531615-27532507;27531616-27532506	27509875-27510490;27526828-27526889;27531529-27531615;27532507-27532579	27531616-27532506	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A27532579-27509875
SMARCB1	ENSG00000099956	ENSG00000099956:s:23786931-23787262	-0.3554972822832424;0.34945195344552543;1.555644853081283e-05	0.9969588218301978;0.9959920718254492;6.310068621656424e-21	3.812233750899452e-09;4.1763475396866745e-09;0.0480407449878949	0.944;0.053;0.003	0.585;0.406;0.009	s|1e1.1o3|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;1	chr22	+	23787262-23791756;23787262-23793559;23787262-23800944	23786931-23787262;23791756-23791894;23793559-23793688;23800944-23801135		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A23801135-23786931
SMARCB1	ENSG00000099956	ENSG00000099956:t:23793559-23793688	0.26737081664198087;-0.1212519385413739;-0.10582029896281966	0.9172657272067734;0.11300427376965516;0.040271052744496286	4.5758149008699505e-09;7.511077829924773e-06;8.335281971749708e-06	0.038;0.737;0.225	0.305;0.593;0.102	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0;1;1	chr22	+	23787262-23793559;23791867-23793559;23791894-23793559	23786931-23787262;23791756-23791894;23793559-23793688		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A23793688-23786931
FAM118A	ENSG00000100376	ENSG00000100376:s:45323175-45323427	-0.25564369752538973;0.385230986042661;-0.051859087429221254	0.6725492603406509;0.9324375206591897;0.019561183611757967	1.6716309961806175e-06;8.080842161939513e-07;8.751201086898419e-06	0.681;0.199;0.121	0.361;0.612;0.029	s|1e1.1o1|1e2.2o2|i	False	False	True	3	3	1;0;0	chr22	+	45323427-45327842;45323427-45335350;45323428-45327841	45323175-45323427;45327842-45328241;45335216-45335382	45323428-45327841	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A45335382-45323175
FAM118A	ENSG00000100376	ENSG00000100376:t:45335216-45335382	0.37451153281971616;-0.2510708409962936;-0.035931168725771165	0.8940460917392404;0.6439428825074676;0.013589263942357951	8.02257621584316e-06;1.162892805639526e-05;3.9627772833839003e-05	0.242;0.652;0.106	0.658;0.322;0.020	t|1e1.1o1|1e2.3o3|1e3.1o1	False	False	True	3	4	0;1;1	chr22	+	45323427-45335350;45332710-45335350;45335188-45335350	45323175-45323427;45332425-45332710;45335025-45335188;45335216-45335382		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A45335382-45323175
FAM118A	ENSG00000100376	ENSG00000100376:t:45340386-45341955	0.3644935571367845;-0.013774195254831824;-0.3341216374716879	0.9367769035836873;0.0019063995283414479;0.9129963408842398	3.4896399538031727e-07;2.2816701114147797e-05;2.423264405804204e-07	0.467;0.095;0.439	0.857;0.066;0.077	t|1e1.2o2|1e2.1o1|i	False	False	True	3	3	1;1;0	chr22	+	45336411-45340386;45337968-45340386;45337969-45340385	45336328-45336411;45337834-45337968;45340386-45341955	45337969-45340385	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A45341955-45336328
GSPT1	ENSG00000103342	ENSG00000103342:s:11896558-11896785	0.25944318140989037;-0.25944320743212557	0.6970767113865829;0.6970767135049541	1.478118950186142e-06;1.4782057217166411e-06	0.471;0.529	0.786;0.214	s|1e1.2o2|i	False	False	False	2	2	1;0	chr16	-	11894987-11896558;11895285-11896557	11894954-11895284;11896558-11896785	11895285-11896557	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A11896785-11894954
KCNN4	ENSG00000104783	ENSG00000104783:s:43776541-43776826	-0.26991621667283994;0.2699161762236143	0.7411499660282616;0.741149905729958	1.0219531815236493e-06;1.0218894753100593e-06	0.740;0.260	0.421;0.579	s|1e1.1o1|i	False	False	False	2	2	1;0	chr19	-	43774619-43776541;43774620-43776540	43774561-43774619;43776541-43776826	43774620-43776540	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A43776826-43774561
TIMM44	ENSG00000104980	ENSG00000104980:s:7931138-7931599	0.20086084689782618;-0.008346649601837048;-0.16596403293618178	0.52548880193319;3.946220928648413e-06;0.39495657762551634	1.6631089953117462e-06;0.00016471285556673987;2.069939663784659e-06	0.527;0.041;0.433	0.784;0.010;0.207	s|1e1.2o2|1e2.1o1|i	False	False	True	3	3	1;1;0	chr19	-	7928166-7931138;7927767-7931138;7928945-7931137	7927657-7927767;7927824-7928944;7931138-7931599	7928945-7931137	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A7931599-7927657
BRAT1	ENSG00000106009	ENSG00000106009:s:2542120-2542211	-0.262696675938764;0.2626966749049985	0.8024902798933412;0.802490402760639	2.2717984016207282e-07;2.2716500563542646e-07	0.576;0.424	0.298;0.702	s|1e1.1o1|i	False	False	False	2	2	1;1	chr7	-	2541836-2542120;2541837-2542119	2541718-2541836;2542120-2542211	2541837-2542119	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A2542211-2541718
BRAT1	ENSG00000106009	ENSG00000106009:s:2547324-2547478	-0.3954192311055395;-0.0030921269222259273;0.40561463065865216	0.9910378764183806;1.1444062354243725e-07;0.9934610004903807	4.1242519399631306e-08;0.0003450372874878038;3.609867361748051e-08	0.668;0.030;0.302	0.260;0.021;0.720	s|1e1.1o1|1e2.2o2|i	False	False	True	3	3	1;1;0	chr7	-	2545056-2547324;2543962-2547324;2545057-2547323	2543590-2544252;2544909-2545056;2547324-2547478	2545057-2547323	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A2547478-2543590
BRAT1	ENSG00000106009	ENSG00000106009:s:2554305-2554448	-0.22851297046095487;0.22851300498325403	0.654672780585731;0.6546728660375358	2.6019055832104954e-07;2.6017344897726415e-07	0.969;0.031	0.720;0.280	s|1e1.1o1|i	False	False	False	2	2	1;0	chr7	-	2547478-2554305;2547479-2554304	2547324-2547478;2554305-2554448	2547479-2554304	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A2554448-2547324
BRAT1	ENSG00000106009	ENSG00000106009:t:2537810-2538764	8.002911905276769e-05;-0.26427863047812494;0.2563974916984284	7.951949945187474e-21;0.8089160861760012;0.7791313272067839	0.014713350373846912;2.2597610083163744e-07;2.6535459302802447e-07	0.003;0.605;0.391	0.010;0.325;0.665	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;1	chr7	-	2538764-2539544;2538764-2539179;2538765-2539178	2537810-2538764;2539179-2539351;2539544-2539642	2538765-2539178	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A2539642-2537810
BRAT1	ENSG00000106009	ENSG00000106009:t:2543590-2544252	-0.0037218178986043143;-0.31967293342683833;0.33397729418193234	9.206906994714757e-08;0.9357727864289348;0.9555973984712727	0.00033053298602592207;1.1895830576147404e-07;9.158178477603268e-08	0.029;0.668;0.303	0.017;0.331;0.651	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr7	-	2543962-2547324;2543962-2544909;2544253-2544908	2543590-2544252;2544909-2545056;2547324-2547478	2544253-2544908	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A2547478-2543590
