ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSG00000160305"	"DIP2A"	chr21	+	46490599	46490719	46484756	46484828	46496987	46497107	3	14,8,14,19,7	0,0,0,0,0	1,12,8,8,3	0,1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.857,1.0,1.0,1.0	0.029
4	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376	4	11,9,11,10,3	0,0,0,1,1	14,6,2,8,4	1,1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,0.833,0.6	0.875,0.75,1.0,1.0,1.0	-0.038
5	"ENSG00000160305"	"DIP2A"	chr21	+	46529091	46529183	46511416	46511614	46532126	46532237	5	7,8,11,13,8	0,0,0,1,1	1,20,2,4,8	0,0,0,0,0	191	99	1	1.0	1.0,1.0,1.0,0.871,0.806	1.0,1.0,1.0,1.0,1.0	-0.065
6	"ENSG00000160305"	"DIP2A"	chr21	+	46534584	46534687	46534003	46534113	46537223	46537288	6	8,15,8,12,8	0,2,0,0,0	0,12,6,5,2	2,1,0,2,0	198	99	0.12690870972	1.0	1.0,0.789,1.0,1.0,1.0	0.0,0.857,1.0,0.556,1.0	0.275
7	"ENSG00000160305"	"DIP2A"	chr21	+	46541755	46541895	46538734	46539991	46545136	46545205	7	9,9,13,10,9	0,0,0,0,0	4,9,8,9,4	0,1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.818,1.0,1.0,1.0	0.036
8	"ENSG00000160305"	"DIP2A"	chr21	+	46546914	46547042	46545880	46545961	46549770	46549885	8	7,6,6,10,7	0,0,0,0,0	8,5,5,1,5	1,0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.8,1.0,1.0,1.0,1.0	0.04
9	"ENSG00000160305"	"DIP2A"	chr21	+	46556938	46557069	46555981	46556091	46557584	46557753	9	5,5,7,7,6	0,0,0,0,1	2,7,3,5,6	0,1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,0.75	1.0,0.778,1.0,1.0,1.0	-0.006
11	"ENSG00000160305"	"DIP2A"	chr21	+	46561747	46561805	46560721	46560783	46563857	46563932	11	2,2,2,3,1	0,0,0,1,0	0,4,3,0,1	1,0,1,0,0	157	99	1	1.0	1.0,1.0,1.0,0.654,1.0	0.0,1.0,0.654,NA,1.0	0.267
12	"ENSG00000160305"	"DIP2A"	chr21	+	46565712	46565887	46563659	46563932	46567369	46569585	12	4,10,8,8,4	1,0,0,1,0	0,3,3,8,1	0,0,1,0,0	198	99	1	1.0	0.667,1.0,1.0,0.8,1.0	NA,1.0,0.6,1.0,1.0	-0.007
13	"ENSG00000160305"	"DIP2A"	chr21	+	46566559	46566683	46565712	46565887	46567369	46569585	13	12,10,19,9,8	0,0,0,0,0	6,9,8,9,3	0,0,0,1,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.818,1.0	0.036
14	"ENSG00000160294"	"MCM3AP"	chr21	-	46240810	46241017	46236828	46236979	46243464	46243722	14	41,49,25,35,29	1,1,0,0,0	19,19,24,18,26	1,0,0,0,0	198	99	1	1.0	0.953,0.961,1.0,1.0,1.0	0.905,1.0,1.0,1.0,1.0	0.002
15	"ENSG00000160294"	"MCM3AP"	chr21	-	46242801	46242931	46240810	46241017	46243464	46243722	15	72,92,66,41,59	1,1,0,0,0	36,42,40,30,37	0,2,1,3,2	198	99	0.0500775834979	0.5390288043409355	0.973,0.979,1.0,1.0,1.0	1.0,0.913,0.952,0.833,0.902	0.07
16	"ENSG00000160294"	"MCM3AP"	chr21	-	46243464	46243722	46242801	46242931	46244806	46245197	16	58,96,63,50,66	0,0,0,0,0	42,46,47,29,43	0,0,1,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.959,1.0,0.956	0.017
17	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246404	46244806	46245197	46251528	46251682	17	36,60,34,40,31	0,1,0,0,0	12,28,36,13,20	0,1,0,0,0	197	99	1	1.0	1.0,0.968,1.0,1.0,1.0	1.0,0.934,1.0,1.0,1.0	0.007
18	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46244806	46245197	46251528	46251682	18	59,79,42,55,42	0,1,0,0,0	19,35,54,25,27	0,1,0,0,0	198	99	1	1.0	1.0,0.975,1.0,1.0,1.0	1.0,0.946,1.0,1.0,1.0	0.006
19	"ENSG00000160294"	"MCM3AP"	chr21	-	46246627	46246886	46246306	46246404	46251528	46251682	19	45,25,11,21,20	4,4,1,0,0	13,21,27,15,15	1,3,2,0,2	198	99	0.739994682664	1.0	0.849,0.758,0.846,1.0,1.0	0.867,0.778,0.871,1.0,0.789	0.03
20	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526	20	58,58,39,37,34	0,1,0,0,1	22,35,40,32,31	0,0,1,0,0	198	99	1	1.0	1.0,0.967,1.0,1.0,0.944	1.0,1.0,0.952,1.0,1.0	-0.008
21	"ENSG00000160294"	"MCM3AP"	chr21	-	46254391	46254526	46251514	46251682	46254775	46254844	21	45,59,42,37,43	0,1,0,1,0	22,39,34,30,34	1,0,0,1,0	198	99	1	1.0	1.0,0.967,1.0,0.949,1.0	0.917,1.0,1.0,0.938,1.0	0.012
22	"ENSG00000160294"	"MCM3AP"	chr21	-	46254775	46254844	46254391	46254526	46256788	46256986	22	32,38,26,36,28	0,0,1,0,0	18,24,24,20,19	0,1,0,0,1	168	99	1	1.0	1.0,1.0,0.939,1.0,1.0	1.0,0.934,1.0,1.0,0.918	0.017
23	"ENSG00000160294"	"MCM3AP"	chr21	-	46258938	46259091	46256788	46256986	46260792	46260906	23	54,76,63,48,41	0,1,0,0,0	25,56,31,31,29	0,0,0,0,0	198	99	1	1.0	1.0,0.974,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.005
24	"ENSG00000160294"	"MCM3AP"	chr21	-	46264116	46264217	46261279	46261411	46265320	46265523	24	52,81,34,42,41	0,0,0,0,0	27,35,27,27,34	2,0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.871,1.0,1.0,1.0,1.0	0.026
25	"ENSG00000160294"	"MCM3AP"	chr21	-	46265924	46266166	46265320	46265523	46266981	46267142	25	58,58,43,32,41	0,0,0,0,0	25,26,26,14,22	0,1,0,1,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.929,1.0,0.875,1.0	0.039
26	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46266981	46267142	46272560	46272829	26	35,46,34,25,39	1,1,0,0,0	11,30,13,13,8	3,3,0,0,2	198	99	0.00892690077436	0.13907812795335428	0.946,0.958,1.0,1.0,1.0	0.647,0.833,1.0,1.0,0.667	0.151
27	"ENSG00000160294"	"MCM3AP"	chr21	-	46272560	46272829	46270400	46270563	46273387	46273585	27	38,51,30,28,46	2,2,0,1,0	13,31,11,19,9	0,0,0,0,0	198	99	0.784293829556	1.0	0.905,0.927,1.0,0.933,1.0	1.0,1.0,1.0,1.0,1.0	-0.047
28	"ENSG00000160294"	"MCM3AP"	chr21	-	46275185	46275325	46273387	46273585	46283614	46283838	28	30,41,22,23,21	0,0,1,0,0	9,11,16,10,12	0,0,0,0,0	198	99	1	1.0	1.0,1.0,0.917,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.017
29	"ENSG00000160294"	"MCM3AP"	chr21	-	46277526	46277717	46275185	46275325	46279992	46280137	29	59,54,43,48,46	0,1,0,0,0	28,38,26,25,18	0,0,0,0,0	198	99	1	1.0	1.0,0.964,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.007
30	"ENSG00000160294"	"MCM3AP"	chr21	-	46279992	46280137	46275185	46275325	46280496	46280575	30	27,23,33,24,29	0,0,0,0,0	11,17,10,13,10	1,0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.846,1.0,1.0,1.0,1.0	0.031
31	"ENSG00000160294"	"MCM3AP"	chr21	-	46279992	46280137	46275185	46275325	46283614	46283838	31	3,2,1,2,0	2,0,0,0,0	3,3,0,1,0	0,0,0,0,0	198	99	1	1.0	0.429,1.0,1.0,1.0,NA	1.0,1.0,NA,1.0,NA	-0.143
32	"ENSG00000160294"	"MCM3AP"	chr21	-	46280496	46280575	46275185	46275325	46283614	46283838	32	41,26,23,16,21	2,0,0,0,0	11,19,11,10,14	0,0,0,0,0	178	99	1	1.0	0.919,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.016
33	"ENSG00000160294"	"MCM3AP"	chr21	-	46280496	46280575	46279992	46280137	46283614	46283838	33	68,47,56,40,50	3,1,1,2,0	21,36,21,23,24	3,3,0,1,0	178	99	0.60788692172	1.0	0.927,0.963,0.969,0.918,1.0	0.796,0.87,1.0,0.927,1.0	0.037
34	"ENSG00000160294"	"MCM3AP"	chr21	-	46284067	46285394	46283614	46283838	46286150	46286297	34	36,41,25,22,24	0,0,1,0,1	11,16,12,9,9	0,0,0,1,0	198	99	1	1.0	1.0,1.0,0.926,1.0,0.923	1.0,1.0,1.0,0.818,1.0	0.006
37	"ENSG00000160285"	"LSS"	chr21	-	46194490	46194661	46191880	46191959	46195675	46195756	37	14,4,8,6,7	0,1,1,0,0	4,4,4,4,2	0,0,0,0,0	198	99	1	1.0	1.0,0.667,0.8,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.107
38	"ENSG00000160285"	"LSS"	chr21	-	46195675	46195756	46191880	46191959	46205835	46205941	38	2,3,2,0,0	0,0,0,1,0	1,1,0,0,0	0,0,0,0,0	180	99	1	1.0	1.0,1.0,1.0,0.0,NA	1.0,1.0,NA,NA,NA	-0.25
39	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941	39	1,3,2,5,1	3,3,1,0,0	1,0,1,2,1	1,1,0,0,0	165	99	0.00761924369551	0.12261803550350873	0.167,0.375,0.545,1.0,1.0	0.375,0.0,1.0,1.0,1.0	-0.058
40	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975	40	6,4,5,11,5	0,0,0,0,0	2,1,4,1,2	0,0,0,0,1	196	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.503	0.099
41	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46221853	46221975	46227551	46227690	41	4,3,4,5,5	0,0,0,0,0	3,3,0,0,0	0,0,0,1,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,0.0,0.0	0.5
42	"ENSG00000160285"	"LSS"	chr21	-	46222662	46222738	46221853	46221975	46227551	46227690	42	0,0,0,2,3	0,0,0,0,0	1,1,0,0,0	0,0,0,1,1	175	99	1	1.0	NA,NA,NA,1.0,1.0	1.0,1.0,NA,0.0,0.0	0.5
43	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617	43	0,0,0,1,0	0,0,0,0,0	0,0,0,0,0	0,0,1,0,0	145	99	1	1.0	NA,NA,NA,1.0,NA	NA,NA,0.0,NA,NA	1.0
46	"ENSG00000183570"	"PCBP3"	chr21	+	45896207	45896362	45849960	45850095	45899598	45899622	46	0,0,0,0,0	0,0,1,0,0	1,0,0,0,0	0,0,0,0,0	198	99	1	1.0	NA,NA,0.0,NA,NA	1.0,NA,NA,NA,NA	-1.0
